Package,Type,Title,Version,Description,License,Encoding,URL,Repository,Author,Maintainer,_published,_filesize,organization
butcher,NA,Model Butcher,0.3.2.9000,"Provides a set of S3 generics to axe components of fitted
model objects and help reduce the size of model objects saved to disk.",MIT + file LICENSE,UTF-8,"https://butcher.tidymodels.org/,
https://github.com/tidymodels/butcher",https://tidymodels.r-universe.dev,"Joyce Cahoon [aut] (<https://orcid.org/0000-0001-7217-4702>),
Davis Vaughan [aut],
Max Kuhn [aut],
Alex Hayes [aut],
Julia Silge [cre, aut] (<https://orcid.org/0000-0002-3671-836X>),
Posit, PBC [cph, fnd]",Julia Silge <julia.silge@posit.co>,2023-03-19T22:24:09.384Z,1170398,RStudio
applicable,NA,A Compilation of Applicability Domain Methods,0.0.1.1,"A modeling package compiling applicability domain methods in
R.  It combines different methods to measure the amount of
extrapolation new samples can have from the training set. See Netzeva
et al (2005) <doi:10.1177/026119290503300209> for an overview of
applicability domains.",MIT + file LICENSE,UTF-8,"https://github.com/tidymodels/applicable,
https://applicable.tidymodels.org",https://tidymodels.r-universe.dev,"Marly Gotti [aut, cre],
Max Kuhn [aut],
Posit Software, PBC [cph, fnd]",Marly Gotti <marlygotti@gmail.com>,2023-03-17T23:16:21.076Z,575916,RStudio
shinymodels,NA,Interactive Assessments of Models,0.1.0.9000,"Launch a 'shiny' application for 'tidymodels' results. For
classification or regression models, the app can be used to determine
if there is lack of fit or poorly predicted points.",MIT + file LICENSE,UTF-8,"https://shinymodels.tidymodels.org,
https://github.com/tidymodels/shinymodels",https://tidymodels.r-universe.dev,"Max Kuhn [aut] (<https://orcid.org/0000-0003-2402-136X>),
Shisham Adhikari [aut],
Julia Silge [aut] (<https://orcid.org/0000-0002-3671-836X>),
Simon Couch [aut, cre] (<https://orcid.org/0000-0001-5676-5107>),
Posit Software, PBC [cph, fnd]",Simon Couch <simon.couch@posit.co>,2023-03-13T20:19:13.367Z,1495150,RStudio
discrim,NA,Model Wrappers for Discriminant Analysis,1.0.1.9000,"Bindings for additional classification models for use with
the 'parsnip' package. Models include flavors of discriminant
analysis, such as linear (Fisher (1936)
<doi:10.1111/j.1469-1809.1936.tb02137.x>), regularized (Friedman
(1989) <doi:10.1080/01621459.1989.10478752>), and flexible (Hastie,
Tibshirani, and Buja (1994) <doi:10.1080/01621459.1994.10476866>), as
well as naive Bayes classifiers (Hand and Yu (2007)
<doi:10.1111/j.1751-5823.2001.tb00465.x>).",MIT + file LICENSE,UTF-8,"https://github.com/tidymodels/discrim,
https://discrim.tidymodels.org/",https://tidymodels.r-universe.dev,"Emil Hvitfeldt [aut, cre] (<https://orcid.org/0000-0002-0679-1945>),
Max Kuhn [aut] (<https://orcid.org/0000-0003-2402-136X>),
Posit Software, PBC [cph, fnd]",Emil Hvitfeldt <emil.hvitfeldt@posit.co>,2023-03-13T18:15:25.692Z,190890,RStudio
modelenv,NA,Provide Tools to Register Models for Use in 'tidymodels',0.1.1.9000,"An developer focused, low dependency package in 'tidymodels' that
provides functions to register how models are to be used. Functions to
register models are complimented with accessor functions to retrieve
registered model information to aid in model fitting and error handling.",MIT + file LICENSE,UTF-8,"https://github.com/tidymodels/modelenv,
http://modelenv.tidymodels.org/",https://tidymodels.r-universe.dev,"Emil Hvitfeldt [aut, cre] (<https://orcid.org/0000-0002-0679-1945>),
Posit Software, PBC [cph, fnd]",Emil Hvitfeldt <emil.hvitfeldt@posit.co>,2023-03-13T18:14:09.463Z,132472,RStudio
usemodels,NA,Boilerplate Code for 'Tidymodels' Analyses,0.2.0.9000,"Code snippets to fit models using the tidymodels framework
can be easily created for a given data set.",MIT + file LICENSE,UTF-8,"https://usemodels.tidymodels.org/,
https://github.com/tidymodels/usemodels",https://tidymodels.r-universe.dev,"Max Kuhn [aut, cre] (<https://orcid.org/0000-0003-2402-136X>),
Posit Software, PBC [cph, fnd]",Max Kuhn <max@posit.co>,2023-03-13T03:16:08.641Z,113853,RStudio
agua,NA,'tidymodels' Integration with 'h2o',0.1.2,"Create and evaluate models using 'tidymodels' and 'h2o' <https://h2o.ai/>. The
package enables users to specify 'h2o' as an engine for several
modeling methods.",MIT + file LICENSE,UTF-8,"https://agua.tidymodels.org/, https://github.com/tidymodels/agua",https://tidymodels.r-universe.dev,"Max Kuhn [aut] (<https://orcid.org/0000-0003-2402-136X>),
Qiushi Yan [aut, cre],
Steven Pawley [aut],
Posit Software, PBC [cph, fnd]",Qiushi Yan <qiushi.yann@gmail.com>,2023-04-08T06:24:52.970Z,321590,RStudio
plsmod,NA,Model Wrappers for Projection Methods,1.0.0.9000,"Bindings for additional regression models for use with the
'parsnip' package, including ordinary and spare partial least squares
models for regression and classification (Rohart et al (2017)
<doi:10.1371/journal.pcbi.1005752>).",MIT + file LICENSE,UTF-8,"https://plsmod.tidymodels.org,
https://github.com/tidymodels/plsmod",https://tidymodels.r-universe.dev,"Max Kuhn [aut, cre] (<https://orcid.org/0000-0003-2402-136X>),
Posit Software, PBC [cph, fnd]",Max Kuhn <max@posit.co>,2023-04-08T06:31:43.266Z,92333,RStudio
modeldata,NA,Data Sets Useful for Modeling Examples,1.1.0.9000,"Data sets used for demonstrating or testing model-related
packages are contained in this package.",MIT + file LICENSE,UTF-8,"https://modeldata.tidymodels.org,
https://github.com/tidymodels/modeldata",https://tidymodels.r-universe.dev,"Max Kuhn [aut, cre],
Posit Software, PBC [cph, fnd]",Max Kuhn <max@posit.co>,2023-04-08T06:18:08.320Z,4323122,RStudio
tidyposterior,NA,Bayesian Analysis to Compare Models using Resampling Statistics,1.0.0.9000,"Bayesian analysis used here to answer the question: ""when
looking at resampling results, are the differences between models
'real'?"" To answer this, a model can be created were the performance
statistic is the resampling statistics (e.g. accuracy or RMSE). These
values are explained by the model types. In doing this, we can get
parameter estimates for each model's affect on performance and make
statistical (and practical) comparisons between models. The methods
included here are similar to Benavoli et al (2017)
<https://jmlr.org/papers/v18/16-305.html>.",MIT + file LICENSE,UTF-8,"https://tidyposterior.tidymodels.org,
https://github.com/tidymodels/tidyposterior",https://tidymodels.r-universe.dev,"Max Kuhn [aut, cre] (<https://orcid.org/0000-0003-2402-136X>),
Posit Software, PBC [cph, fnd]",Max Kuhn <max@posit.co>,2023-04-08T06:57:31.586Z,407073,RStudio
brulee,NA,High-Level Modeling Functions with 'torch',0.2.0.9000,"Provides high-level modeling functions to define and train
models using the 'torch' R package. Models include linear, logistic,
and multinomial regression as well as multilayer perceptrons.",MIT + file LICENSE,UTF-8,"https://github.com/tidymodels/brulee,
https://brulee.tidymodels.org/",https://tidymodels.r-universe.dev,"Max Kuhn [aut, cre] (<https://orcid.org/0000-0003-2402-136X>),
Daniel Falbel [aut],
Posit Software, PBC [cph, fnd]",Max Kuhn <max@posit.co>,2023-04-08T06:22:11.037Z,269603,RStudio
tidyclust,NA,A Common API to Clustering,0.1.2.9000,"A common interface to specifying clustering models, in the
same style as 'parsnip'. Creates unified interface across different
functions and computational engines.",MIT + file LICENSE,UTF-8,"https://github.com/tidymodels/tidyclust,
https://tidyclust.tidymodels.org/",https://tidymodels.r-universe.dev,"Emil Hvitfeldt [aut, cre] (<https://orcid.org/0000-0002-0679-1945>),
Kelly Bodwin [aut],
Posit Software, PBC [cph, fnd]",Emil Hvitfeldt <emil.hvitfeldt@posit.co>,2023-04-07T07:18:49.895Z,353154,RStudio
multilevelmod,NA,Model Wrappers for Multi-Level Models,1.0.0.9000,"Bindings for hierarchical regression models for use with the
'parsnip' package. Models include longitudinal generalized linear
models (Liang and Zeger, 1986) <doi:10.1093/biomet/73.1.13>, and
mixed-effect models (Pinheiro and Bates)
<doi:10.1007/978-1-4419-0318-1_1>.",MIT + file LICENSE,UTF-8,"https://github.com/tidymodels/multilevelmod,
http://multilevelmod.tidymodels.org/",https://tidymodels.r-universe.dev,"Max Kuhn [aut] (<https://orcid.org/0000-0003-2402-136X>),
Hannah Frick [aut, cre] (<https://orcid.org/0000-0002-6049-5258>),
Posit Software, PBC [cph, fnd]",Hannah Frick <hannah@posit.co>,2023-04-07T07:04:11.502Z,302393,RStudio
tidymodels,NA,Easily Install and Load the 'Tidymodels' Packages,1.0.0.9000,"The tidy modeling ""verse"" is a collection of packages for
modeling and statistical analysis that share the underlying design
philosophy, grammar, and data structures of the tidyverse.",MIT + file LICENSE,UTF-8,"https://tidymodels.tidymodels.org,
https://github.com/tidymodels/tidymodels",https://tidymodels.r-universe.dev,"Max Kuhn [aut, cre] (<https://orcid.org/0000-0003-2402-136X>),
Hadley Wickham [aut],
Posit Software, PBC [cph, fnd]",Max Kuhn <max@posit.co>,2023-04-07T05:15:36.385Z,135439,RStudio
bonsai,NA,Model Wrappers for Tree-Based Models,0.2.1.9000,"Bindings for additional tree-based model engines for use with
the 'parsnip' package. Models include gradient boosted decision trees
with 'LightGBM' (Ke et al, 2017.) and
conditional inference trees and conditional random forests with
'partykit' (Hothorn and Zeileis, 2015. and
Hothorn et al, 2006. <doi:10.1198/106186006X133933>).",MIT + file LICENSE,UTF-8,"https://bonsai.tidymodels.org/,
https://github.com/tidymodels/bonsai",https://tidymodels.r-universe.dev,"Daniel Falbel [aut],
Athos Damiani [aut],
Roel M. Hogervorst [aut] (<https://orcid.org/0000-0001-7509-0328>),
Max Kuhn [aut] (<https://orcid.org/0000-0003-2402-136X>),
Simon Couch [aut, cre] (<https://orcid.org/0000-0001-5676-5107>),
Posit Software, PBC [cph, fnd]",Simon Couch <simon.couch@posit.co>,2023-04-07T05:15:03.212Z,308375,RStudio
tidypredict,NA,Run Predictions Inside the Database,0.5,"It parses a fitted 'R' model object, and returns a formula in
'Tidy Eval' code that calculates the predictions.  It works with
several databases back-ends because it leverages 'dplyr' and 'dbplyr'
for the final 'SQL' translation of the algorithm. It currently
supports lm(), glm(), randomForest(), ranger(), earth(),
xgb.Booster.complete(), cubist(), and ctree() models.",MIT + file LICENSE,UTF-8,"https://tidypredict.tidymodels.org,
https://github.com/tidymodels/tidypredict",https://tidymodels.r-universe.dev,"Edgar Ruiz [aut, cre],
Max Kuhn [aut]",Edgar Ruiz <edgar@posit.co>,2023-04-10T06:32:25.762Z,1442655,RStudio
modeldb,NA,Fits Models Inside the Database,0.2.3.9000,"Uses 'dplyr' and 'tidyeval' to fit statistical models inside
the database. It currently supports KMeans and linear regression
models.",MIT + file LICENSE,UTF-8,"https://modeldb.tidymodels.org,
https://github.com/tidymodels/modeldb",https://tidymodels.r-universe.dev,"Max Kuhn [aut, cre]",Max Kuhn <max@rstudio.com>,2023-04-10T06:21:13.312Z,328486,RStudio
corrr,Package,Correlations in R,0.4.4.9000,"A tool for exploring correlations.  It makes it possible to
easily perform routine tasks when exploring correlation matrices such
as ignoring the diagonal, focusing on the correlations of certain
variables against others, or rearranging and visualizing the matrix in
terms of the strength of the correlations.",MIT + file LICENSE,UTF-8,"https://github.com/tidymodels/corrr, https://corrr.tidymodels.org",https://tidymodels.r-universe.dev,"Max Kuhn [aut, cre],
Simon Jackson [aut],
Jorge Cimentada [aut]",Max Kuhn <max@rstudio.com>,2023-04-10T06:19:53.903Z,553951,RStudio
CRediTas,Package,Generate CRediT Author Statements,0.2.0,"CRediTas is a tiny package to generate CRediT author statements (<https://credit.niso.org/>). 
It provides three functions: create a template, read it back and generate the CRediT author statement in a text file.",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/CRediTas,
https://docs.ropensci.org/CRediTas",https://ropensci.r-universe.dev,"Josep Pueyo-Ros [aut, cre] (<https://orcid.org/0000-0002-1236-5651>),
Marcelo S. Perlin [rev] (@msperlin),
João Martins [rev] (@zambujo)",Josep Pueyo-Ros <josep.pueyo@udg.edu>,2023-04-11T13:22:10.149Z,98517,rOpenSci
daiquiri,Package,Data Quality Reporting for Temporal Datasets,1.0.3.9000,"Generate reports that enable quick visual review of 
temporal shifts in record-level data. Time series plots showing aggregated
values are automatically created for each data field (column) depending on its
contents (e.g. min/max/mean values for numeric data, no. of distinct
values for categorical data), as well as overviews for missing values,
non-conformant values, and duplicated rows. The resulting reports are shareable
and can contribute to forming a transparent record of the entire analysis process.
It is designed with Electronic Health Records in mind, but can be used for
any type of record-level temporal data (i.e. tabular data where each row represents
a single ""event"", one column contains the ""event date"", and other columns
contain any associated values for the event).",GPL (>= 3),UTF-8,"https://github.com/ropensci/daiquiri,
https://ropensci.github.io/daiquiri/",https://ropensci.r-universe.dev,"T. Phuong Quan [aut, cre] (<https://orcid.org/0000-0001-8566-1817>),
Jack Cregan [ctb],
University of Oxford [cph],
National Institute for Health Research (NIHR) [fnd],
Brad Cannell [rev]",T. Phuong Quan <phuong.quan@ndm.ox.ac.uk>,2023-04-11T10:18:46.664Z,718681,rOpenSci
dittodb,NA,A Test Environment for Database Requests,0.1.4.9000,"Testing and documenting code that communicates with remote
databases can be painful. Although the interaction with R is usually relatively
simple (e.g. data(frames) passed to and from a database), because they rely on
a separate service and the data there, testing them can be difficult to set up,
unsustainable in a continuous integration environment, or impossible without
replicating an entire production cluster. This package addresses that by
allowing you to make recordings from your database interactions and then play
them back while testing (or in other contexts) all without needing to spin up
or have access to the database your code would typically connect to.",Apache License (>= 2.0),UTF-8,"https://dittodb.jonkeane.com/, https://github.com/ropensci/dittodb",https://ropensci.r-universe.dev,"Jonathan Keane [aut, cre] (<https://orcid.org/0000-0001-7087-9776>),
Mauricio Vargas [aut] (<https://orcid.org/0000-0003-1017-7574>),
Helen Miller [rev] (reviewed the package for rOpenSci, see
https://github.com/ropensci/software-review/issues/366),
Etienne Racine [rev] (reviewed the package for rOpenSci, see
https://github.com/ropensci/software-review/issues/366)",Jonathan Keane <jkeane@gmail.com>,2023-04-10T22:13:52.834Z,329771,rOpenSci
rperseus,NA,Get Texts from the Perseus Digital Library,0.1.2,"The Perseus Digital Library is a collection of classical texts. This package helps
you get them. The available works can also be viewed here: <http://cts.perseids.org/>.",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/rperseus,
https://github.com/ropensci/rperseus",https://ropensci.r-universe.dev,"David Ranzolin [aut, cre]",David Ranzolin <daranzolin@gmail.com>,2023-04-10T22:16:41.389Z,564797,rOpenSci
git2r,Package,Provides Access to Git Repositories,0.31.0.9000,"Interface to the 'libgit2' library, which is a pure C
implementation of the 'Git' core methods. Provides access to 'Git'
repositories to extract data and running some basic 'Git'
commands.",GPL-2,UTF-8,"https://docs.ropensci.org/git2r/ (website),
https://github.com/ropensci/git2r",https://ropensci.r-universe.dev,See AUTHORS file.,Stefan Widgren <stefan.widgren@gmail.com>,2023-04-10T14:19:25.987Z,1622961,rOpenSci
censo2017,NA,"Base de Datos de Facil Acceso del Censo 2017 de Chile (2017
Chilean Census Easy Access Database)",0.6.1,"Provee un acceso conveniente a mas de 17 millones de registros
de la base de datos del Censo 2017. Los datos fueron importados desde
el DVD oficial del INE usando el Convertidor REDATAM creado por Pablo De
Grande. Esta paquete esta documentado intencionalmente en castellano
asciificado para que funcione sin problema en diferentes plataformas.
(Provides convenient access to more than 17 million records from the
Chilean Census 2017 database. The datasets were imported from the official
DVD provided by the Chilean National Bureau of Statistics by using the
REDATAM converter created by Pablo De Grande and in addition it includes the
maps accompanying these datasets.)",CC0,UTF-8,https://docs.ropensci.org/censo2017/,https://ropensci.r-universe.dev,"Mauricio Vargas [aut, cre] (<https://orcid.org/0000-0003-1017-7574>),
Juan Correa [ctb],
Maria Paula Caldas [rev] (rOpenSci),
Frans van Dunné [rev] (rOpenSci),
Melina Vidoni [rev] (rOpenSci),
Constanza Manriquez [rev] (revision independiente de las vinietas),
Instituto Nacional de Estadisticas (INE) [dtc]",Mauricio Vargas <mavargas11@uc.cl>,2023-04-09T20:15:31.209Z,129713,rOpenSci
rtweet,Package,Collecting Twitter Data,1.2.0.9000,"An implementation of calls designed to collect and organize
Twitter data via Twitter's REST and stream Application Program
Interfaces (API), which can be found at the following URL:
<https://developer.twitter.com/en/docs>.",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/rtweet/,
https://github.com/ropensci/rtweet/",https://ropensci.r-universe.dev,"Michael W. Kearney [aut] (<https://orcid.org/0000-0002-0730-4694>),
Lluís Revilla Sancho [aut, cre]
(<https://orcid.org/0000-0001-9747-2570>),
Hadley Wickham [aut] (<https://orcid.org/0000-0003-4757-117X>),
Andrew Heiss [rev] (<https://orcid.org/0000-0002-3948-3914>),
Francois Briatte [rev],
Jonathan Sidi [ctb] (<https://orcid.org/0000-0002-4222-1819>)",Lluís Revilla Sancho <lluis.revilla@gmail.com>,2023-04-09T17:15:46.026Z,3353579,rOpenSci
mcbette,NA,Model Comparison Using 'babette',1.15.1,"'BEAST2' (<https://www.beast2.org>) is a widely used
Bayesian phylogenetic tool, that uses DNA/RNA/protein data
and many model priors to create a posterior of jointly estimated
phylogenies and parameters.
'mcbette' allows to do a Bayesian model comparison over some
site and clock models,
using 'babette' (<https://github.com/ropensci/babette/>).",GPL-3,UTF-8,https://github.com/ropensci/mcbette/,https://ropensci.r-universe.dev,"Richèl J.C. Bilderbeek [aut, cre]
(<https://orcid.org/0000-0003-1107-7049>),
Joëlle Barido-Sottani [rev] (Joëlle reviewed the package for rOpenSci,
see https://github.com/ropensci/software-review/issues/360),
Vikram Baliga [rev] (Vikram reviewed the package for rOpenSci, see
https://github.com/ropensci/software-review/issues/360,
<https://orcid.org/0000-0002-9367-8974>)",Richèl J.C. Bilderbeek <richel@richelbilderbeek.nl>,2023-04-11T06:17:17.968Z,2240708,rOpenSci
onekp,NA,Retrieve Data from the 1000 Plants Initiative (1KP),0.3.0,"The 1000 Plants Initiative (www.onekp.com) has sequenced the transcriptomes
of over 1000 plant species. This package allows these sequences and
metadata to be retrieved and filtered by code, species or recursively by
clade.  Scientific names and NCBI taxonomy IDs are both supported.",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/onekp, https://github.com/ropensci/onekp",https://ropensci.r-universe.dev,"Dhakal Rijan [aut, cre],
Zebulun Arendsee [aut],
Zachary Foster [rev],
Jessica Minnier [rev],
Joel Nitta [ctb]",Dhakal Rijan <rijan_dhakal@tutanota.com>,2023-04-09T01:22:40.356Z,519102,rOpenSci
osmdata,NA,"Import 'OpenStreetMap' Data as Simple Features or Spatial
Objects",0.2.1.006,"Download and import of 'OpenStreetMap' ('OSM') data as 'sf'
or 'sp' objects.  'OSM' data are extracted from the 'Overpass' web
server (<https://overpass-api.de/>) and processed with very fast 'C++'
routines for return to 'R'.",GPL-3,UTF-8,"https://docs.ropensci.org/osmdata/ (website)
https://github.com/ropensci/osmdata/ (devel)",https://ropensci.r-universe.dev,"Mark Padgham [aut, cre],
Bob Rudis [aut],
Robin Lovelace [aut],
Maëlle Salmon [aut],
Joan Maspons [aut] (<https://orcid.org/0000-0003-2286-8727>),
Andrew Smith [ctb],
James Smith [ctb],
Andrea Gilardi [ctb],
Enrico Spinielli [ctb],
Anthony North [ctb],
Martin Machyna [ctb],
Marcin Kalicinski [ctb, cph] (Author of included RapidXML code),
Eli Pousson [ctb] (<https://orcid.org/0000-0001-8280-1706>)",Mark Padgham <mark.padgham@email.com>,2023-04-06T19:31:52.182Z,729273,rOpenSci
deposits,NA,"A universal client for depositing and accessing research data
anywhere",0.1.1.026,"A universal client for depositing and accessing research data
anywhere. Currently supported services are zenodo and figshare.",MIT + file LICENSE,UTF-8,https://docs.ropensci.org/deposits/,https://ropensci.r-universe.dev,"Mark Padgham [aut, cre] (<https://orcid.org/0000-0003-2172-5265>)",Mark Padgham <mark.padgham@email.com>,2023-04-06T14:14:00.133Z,236599,rOpenSci
predictNMB,Package,Evaluate Clinical Prediction Models by Net Monetary Benefit,0.1.0,"Estimates when and where a model-guided treatment strategy may outperform 
a treat-all or treat-none approach by Monte Carlo simulation and evaluation of the Net Monetary Benefit (NMB).",GPL (>= 3),UTF-8,https://docs.ropensci.org/predictNMB/,https://ropensci.r-universe.dev,"Rex Parsons [aut, cre] (<https://orcid.org/0000-0002-6053-8174>),
Robin Blythe [aut] (<https://orcid.org/0000-0002-3643-4332>),
Adrian Barnett [aut] (<https://orcid.org/0000-0001-6339-0374>),
Emi Tanaka [rev] (Emi Tanaka reviewed predictNMB for rOpenSci, see
<https://github.com/ropensci/software-review/issues/566>.),
Tinula Kariyawasam [rev] (Tinula Kariyawasam reviewed predictNMB for
rOpenSci, see
<https://github.com/ropensci/software-review/issues/566>.),
Susanna Cramb [ctb] (<https://orcid.org/0000-0001-9041-9531>),
Steven McPhail [ctb] (<https://orcid.org/0000-0002-1463-662X>)",Rex Parsons <rex.parsons94@gmail.com>,2023-04-06T02:30:08.088Z,2834220,rOpenSci
canaper,NA,Categorical Analysis of Neo- And Paleo-Endemism,1.0.0.9000,"Provides functions to analyze the spatial distribution of
biodiversity, in particular categorical analysis of neo- and paleo-endemism
(CANAPE) as described in Mishler et al (2014) <doi:10.1038/ncomms5473>.
'canaper' conducts statistical tests to determine the types of endemism that
occur in a study area while accounting for the evolutionary relationships of
species.",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/canaper,
https://docs.ropensci.org/canaper/",https://ropensci.r-universe.dev,"Joel H. Nitta [aut, cre] (<https://orcid.org/0000-0003-4719-7472>),
Shawn W. Laffan [ctb, dtc],
Brent D. Mishler [ctb, dtc],
Wataru Iwasaki [ctb] (<https://orcid.org/0000-0002-9169-9245>),
Klaus Schliep [rev] (<https://orcid.org/0000-0003-2941-0161>)",Joel H. Nitta <joelnitta@gmail.com>,2023-04-05T21:22:53.530Z,847773,rOpenSci
frictionless,NA,Read and Write Frictionless Data Packages,1.0.2.9000,"Read and write Frictionless Data Packages. A 'Data Package'
(<https://specs.frictionlessdata.io/data-package/>) is a simple
container format and standard to describe and package a collection of
(tabular) data. It is typically used to publish FAIR
(<https://www.go-fair.org/fair-principles/>) and open datasets.",MIT + file LICENSE,UTF-8,"https://github.com/frictionlessdata/frictionless-r,
https://docs.ropensci.org/frictionless/",https://ropensci.r-universe.dev,"Peter Desmet [aut, cre] (<https://orcid.org/0000-0002-8442-8025>),
Damiano Oldoni [aut] (<https://orcid.org/0000-0003-3445-7562>),
Pieter Huybrechts [aut] (<https://orcid.org/0000-0002-6658-6062>),
Research Institute for Nature and Forest (INBO) [cph]
(https://www.vlaanderen.be/inbo/en-gb/),
LifeWatch Belgium [fnd] (https://lifewatch.be),
Beatriz Milz [rev] (<https://orcid.org/0000-0002-3064-4486>),
João Martins [rev] (<https://orcid.org/0000-0001-7961-4280>)",Peter Desmet <peter.desmet.work@gmail.com>,2023-04-05T11:11:45.337Z,199383,rOpenSci
waywiser,Package,Ergonomic Methods for Assessing Spatial Models,0.3.0.9000,"Assessing predictive models of spatial data can be
challenging, both because these models are typically built for
extrapolating outside the original region represented by training data
and due to potential spatially structured errors, with ""hot spots"" of
higher than expected error clustered geographically due to spatial
structure in the underlying data. Methods are provided for assessing
models fit to spatial data, including approaches for measuring the
spatial structure of model errors, assessing model predictions at
multiple spatial scales, and evaluating where predictions can be made
safely. Methods are particularly useful for models fit using the
'tidymodels' framework. Methods include Moran's I ('Moran' (1950)
<doi:10.2307/2332142>), Geary's C ('Geary' (1954)
<doi:10.2307/2986645>), Getis-Ord's G ('Ord' and 'Getis' (1995)
<doi:10.1111/j.1538-4632.1995.tb00912.x>), agreement coefficients from
'Ji' and Gallo (2006) (<doi: 10.14358/PERS.72.7.823>), agreement
metrics from 'Willmott' (1981) (<doi: 10.1080/02723646.1981.10642213>)
and 'Willmott' 'et' 'al'. (2012) (<doi: 10.1002/joc.2419>), an
implementation of the area of applicability methodology from 'Meyer'
and 'Pebesma' (2021) (<doi:10.1111/2041-210X.13650>), and an
implementation of multi-scale assessment as described in 'Riemann'
'et' 'al'. (2010) (<doi:10.1016/j.rse.2010.05.010>).",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/waywiser,
https://docs.ropensci.org/waywiser/",https://ropensci.r-universe.dev,"Michael Mahoney [aut, cre] (<https://orcid.org/0000-0003-2402-304X>),
Lucas Johnson [ctb] (<https://orcid.org/0000-0002-7953-0260>),
Virgilio Gómez-Rubio [rev] (Virgilio reviewed the package (v.
0.2.0.9000) for rOpenSci, see
<https://github.com/ropensci/software-review/issues/571>),
Jakub Nowosad [rev] (Jakub reviewed the package (v. 0.2.0.9000) for
rOpenSci, see
<https://github.com/ropensci/software-review/issues/571>),
Posit Software, PBC [cph, fnd]",Michael Mahoney <mike.mahoney.218@gmail.com>,2023-04-04T16:28:25.663Z,4499265,rOpenSci
readODS,Package,Read and Write ODS Files,1.8.2,Read ODS (OpenDocument Spreadsheet) into R as data frame. Also support writing data frame into ODS file.,GPL-3,UTF-8,https://github.com/ropensci/readODS,https://ropensci.r-universe.dev,"Gerrit-Jan Schutten [aut],
Chung-hong Chan [aut, cre] (<https://orcid.org/0000-0002-6232-7530>),
Thomas J. Leeper [aut] (<https://orcid.org/0000-0003-4097-6326>),
John Foster [ctb],
Sergio Oller [ctb],
Jim Hester [ctb] (<https://orcid.org/0000-0002-2739-7082>),
Stephen Watts [ctb],
Arthur Katossky [ctb],
Stas Malavin [ctb],
Duncan Garmonsway [ctb],
Mehrad Mahmoudian [ctb],
Matt Kerlogue [ctb],
Detlef Steuer [aut] (<https://orcid.org/0000-0003-2676-5290>),
Michal Lauer [ctb]",Chung-hong Chan <chainsawtiney@gmail.com>,2023-04-04T15:16:16.062Z,881045,rOpenSci
rgbif,NA,Interface to the Global Biodiversity Information Facility API,3.7.7,"A programmatic interface to the Web Service methods
provided by the Global Biodiversity Information Facility (GBIF;
<https://www.gbif.org/developer/summary>). GBIF is a database
of species occurrence records from sources all over the globe.
rgbif includes functions for searching for taxonomic names,
retrieving information on data providers, getting species occurrence
records, getting counts of occurrence records, and using the GBIF
tile map service to make rasters summarizing huge amounts of data.",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/rgbif (devel),
https://docs.ropensci.org/rgbif/ (documentation)",https://ropensci.r-universe.dev,"Scott Chamberlain [aut] (<https://orcid.org/0000-0003-1444-9135>),
Damiano Oldoni [aut] (<https://orcid.org/0000-0003-3445-7562>),
Vijay Barve [ctb] (<https://orcid.org/0000-0002-4852-2567>),
Peter Desmet [ctb] (<https://orcid.org/0000-0002-8442-8025>),
Laurens Geffert [ctb],
Dan Mcglinn [ctb] (<https://orcid.org/0000-0003-2359-3526>),
Karthik Ram [ctb] (<https://orcid.org/0000-0002-0233-1757>),
rOpenSci [fnd] (https://ropensci.org/),
John Waller [aut, cre] (<https://orcid.org/0000-0002-7302-5976>)",John Waller <jwaller@gbif.org>,2023-04-04T09:18:44.574Z,5181316,rOpenSci
tidyhydat,NA,Extract and Tidy Canadian 'Hydrometric' Data,0.6.0,"Provides functions to access historical and real-time national 'hydrometric'
data from Water Survey of Canada data sources (<https://dd.weather.gc.ca/hydrometric/csv/> and
<https://collaboration.cmc.ec.gc.ca/cmc/hydrometrics/www/>) and then applies tidy data principles.",Apache License (== 2.0) | file LICENSE,UTF-8,"https://docs.ropensci.org/tidyhydat/,
https://github.com/ropensci/tidyhydat/",https://ropensci.r-universe.dev,"Sam Albers [aut, cre] (<https://orcid.org/0000-0002-9270-7884>),
David Hutchinson [ctb],
Dewey Dunnington [ctb],
Ryan Whaley [ctb],
Province of British Columbia [cph],
Government of Canada [dtc],
Luke Winslow [rev] (Reviewed for rOpenSci),
Laura DeCicco [rev] (Reviewed for rOpenSci)",Sam Albers <sam.albers@gmail.com>,2023-04-04T05:20:08.554Z,2605620,rOpenSci
